Date,Open,High,Low,Close,Adj Close,Volume
28/02/2011,12.544286,12.680357,12.54,12.614643,10.831141,403074000
1/03/2011,12.695357,12.704286,12.417143,12.475357,10.711546,456136800
2/03/2011,12.498571,12.655357,12.442857,12.575714,10.797717,602590800
3/03/2011,12.756786,12.849643,12.711429,12.841429,11.025863,500788400
4/03/2011,12.859643,12.8675,12.776786,12.857143,11.039355,453266800
7/03/2011,12.907143,12.916786,12.546786,12.691429,10.897066,546123200
8/03/2011,12.675357,12.764286,12.580357,12.705714,10.909332,356316800
9/03/2011,12.6675,12.67,12.521429,12.588214,10.808446,453306000
10/03/2011,12.468571,12.491786,12.317857,12.381071,10.630592,507539200
11/03/2011,12.333214,12.582857,12.321429,12.571071,10.793728,471080400
14/03/2011,12.613571,12.731429,12.546786,12.627143,10.841873,435957200
15/03/2011,12.217857,12.422857,12.146429,12.336786,10.592567,721081200
16/03/2011,12.214286,12.25,11.652143,11.786071,10.119715,1162011200
17/03/2011,12.029643,12.128929,11.809286,11.951429,10.261692,659422400
18/03/2011,12.040357,12.078571,11.785714,11.809643,10.139952,753214000
21/03/2011,11.999643,12.133571,11.973571,12.117857,10.404592,409402000
22/03/2011,12.234286,12.236429,12.112143,12.185714,10.462854,325922800
23/03/2011,12.117143,12.150714,11.998214,12.113929,10.401217,372996400
24/03/2011,12.208929,12.357143,12.102143,12.320357,10.578463,404712000
25/03/2011,12.431071,12.573571,12.393571,12.555,10.779929,448910000
28/03/2011,12.6125,12.654286,12.515714,12.515714,10.746198,309355200
29/03/2011,12.416429,12.534286,12.359286,12.534286,10.762144,352900800
30/03/2011,12.522857,12.531429,12.408571,12.451071,10.690695,329406000
31/03/2011,12.37,12.492857,12.359286,12.446786,10.687015,274019200
1/04/2011,12.539643,12.556786,12.260714,12.305714,10.565887,418661600
4/04/2011,12.296786,12.307143,12.085714,12.185357,10.46255,460084800
5/04/2011,12.035357,12.223214,12,12.103214,10.392016,482731200
6/04/2011,12.186429,12.282143,12.040714,12.072857,10.365954,402539200
7/04/2011,12.075,12.158214,12.001071,12.074286,10.367178,373447200
8/04/2011,12.14,12.148214,11.926786,11.966429,10.27457,377535200
11/04/2011,11.930714,11.988214,11.786429,11.814286,10.143939,398946800
12/04/2011,11.803214,11.918929,11.792857,11.871429,10.193004,425639200
13/04/2011,11.965,12.005,11.875714,12.004643,10.307384,346220000
14/04/2011,11.957143,12,11.859286,11.872143,10.193617,301800800
15/04/2011,11.903571,11.915714,11.671429,11.695,10.041517,453605600
18/04/2011,11.646429,11.865357,11.434286,11.851786,10.17614,609898800
19/04/2011,11.896429,12.070714,11.846786,12.066429,10.360435,419378400
20/04/2011,12.268214,12.348214,12.196429,12.228929,10.499958,700666400
21/04/2011,12.678571,12.683214,12.447143,12.525,10.75417,753810400
25/04/2011,12.512143,12.633929,12.510714,12.6075,10.825009,266546000
26/04/2011,12.629286,12.678214,12.476786,12.515,10.745584,338800000
27/04/2011,12.58,12.583929,12.396429,12.505357,10.737304,356213200
28/04/2011,12.363929,12.491071,12.34,12.383929,10.633044,360959200
29/04/2011,12.385,12.641071,12.381071,12.504643,10.736695,1006345200
2/05/2011,12.490714,12.516786,12.339286,12.367143,10.618631,442713600
3/05/2011,12.428214,12.496071,12.343571,12.435714,10.677508,313348000
4/05/2011,12.437857,12.565357,12.388571,12.484643,10.719519,389250400
5/05/2011,12.442857,12.533929,12.358929,12.383929,10.633044,335969200
6/05/2011,12.488929,12.5,12.364643,12.380714,10.630286,280134400
9/05/2011,12.423571,12.471429,12.376071,12.414286,10.659108,204747200
10/05/2011,12.460357,12.488929,12.380714,12.480357,10.71584,282091600
11/05/2011,12.465,12.5,12.33,12.401071,10.647762,336000000
12/05/2011,12.361429,12.397143,12.223929,12.3775,10.627523,322000000
13/05/2011,12.345,12.366071,12.155357,12.160714,10.441388,326116000
16/05/2011,12.114286,12.186429,11.878571,11.903571,10.220602,449775200
17/05/2011,11.857143,12.005,11.811786,12.005,10.307689,452334400
18/05/2011,12.016786,12.180357,12,12.138214,10.422072,334776400
19/05/2011,12.217143,12.228929,12.095357,12.161786,10.442309,261170000
20/05/2011,12.127143,12.176786,11.965,11.972143,10.279479,337968400
23/05/2011,11.784643,11.999286,11.765,11.942857,10.254333,383600000
24/05/2011,11.982143,11.996429,11.833571,11.863929,10.186566,321927200
25/05/2011,11.908214,12.091429,11.8875,12.027857,10.327314,294224000
26/05/2011,11.998929,12.031786,11.943929,11.964286,10.272734,222560800
27/05/2011,11.957143,12.058214,11.939643,12.050357,10.346637,203599200
31/05/2011,12.182143,12.4225,12.178571,12.4225,10.666163,417754400
1/06/2011,12.459643,12.576071,12.308929,12.339643,10.595019,554682800
2/06/2011,12.375,12.427857,12.296429,12.360714,10.613111,338783200
3/06/2011,12.256429,12.333214,12.214643,12.265714,10.531544,313250000
6/06/2011,12.346429,12.394643,12.064643,12.072857,10.365954,461941200
7/06/2011,12.0775,12.079286,11.853571,11.858571,10.181964,529785200
8/06/2011,11.849286,11.957143,11.808929,11.865714,10.188099,333723600
9/06/2011,11.901786,11.916786,11.8125,11.838929,10.1651,275088800
10/06/2011,11.805357,11.845,11.625357,11.639286,9.993683,433955200
13/06/2011,11.685714,11.725357,11.609643,11.664286,10.015147,329473200
14/06/2011,11.785714,11.901786,11.761071,11.872857,10.194227,334569200
15/06/2011,11.776786,11.796429,11.602857,11.669643,10.019747,399196000
16/06/2011,11.675,11.738571,11.368929,11.612857,9.97099,510591200
17/06/2011,11.749643,11.758929,11.405714,11.437857,9.820731,615020000
20/06/2011,11.334286,11.346429,11.089286,11.261429,9.669247,640645600
21/06/2011,11.31,11.635714,11.257143,11.617857,9.975284,493382400
22/06/2011,11.612857,11.746429,11.513571,11.521786,9.892791,390583200
23/06/2011,11.390714,11.846071,11.361429,11.829643,10.157126,559759200
24/06/2011,11.834643,11.898214,11.610357,11.655357,10.007481,439807200
27/06/2011,11.699643,11.925,11.6875,11.858571,10.181964,339813600
28/06/2011,11.916071,12.025,11.908571,11.973571,10.280704,294299600
29/06/2011,12.001429,12.013214,11.852857,11.93,10.243296,352545200
30/06/2011,11.953571,12.004643,11.887143,11.988214,10.293277,322954800
1/07/2011,11.998214,12.267857,11.935714,12.259286,10.526024,435313200
5/07/2011,12.25,12.493929,12.232143,12.479643,10.715222,355054000
